timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,ground_truth_camera_distance_m,estimation_error_m
8.53,8.53,True,-0.4584226131439209,2.1934796692440774,1.2,0.9185750772302439,0.0,0.0,-2.414478964281929e-18,1.8832924472561435e-36,-8.692819157957925e-19,2.383646931005922,0.5671501862220305,2.118575077230244,0.07490459201383359
8.562,8.562,True,-0.4597336292266846,2.187582460452757,1.2,0.9170320563946401,0.0,0.0,-2.420425698604883e-18,1.888455972416522e-36,-8.6458659749655635e-19,2.3816339683355467,0.568494665417196,2.11703205639464,0.07055040405811708
8.599,8.599,True,-0.46103672981262206,2.184297438664616,1.2,0.9155084206292281,0.0,0.0,-2.421843756377239e-18,1.889679883369127e-36,-8.627332521528176e-19,2.3796538407089174,0.5697897814907231,2.115508420629228,0.06878901803538806
8.629,8.629,True,-0.4625,2.1809431371444337,1.2,0.913959297451574,0.0,0.0,-2.4202509171743506e-18,1.88829081770276e-36,-8.618613440341945e-19,2.3776478730393165,0.5710752022487471,2.113959297451574,0.0669838396928597
8.661,8.661,True,-0.4640625,2.1830674916741857,1.2,0.912336703367205,0.0,0.0,-2.4282146200887745e-18,1.895139596373895e-36,-8.578722383554653e-19,2.3755542362715865,0.5723894115816226,2.112336703367205,0.07073078830698076
8.727,8.727,True,-0.4671875,2.1702867076088275,1.2,0.9091106123265125,0.0,0.0,-2.4260669158508572e-18,1.8933012683952546e-36,-8.543829751778288e-19,2.3714127974450303,0.5749109889369618,2.1091106123265124,0.061176095282315046
8.762,8.762,True,-0.46875,2.176451797826311,1.2,0.9074096234567117,0.0,0.0,-2.4298957668628693e-18,1.8965680119785895e-36,-8.47178650058053e-19,2.3692397950347748,0.5761947230650127,2.1074096234567117,0.06904217436959925
8.795,8.795,True,-0.47016129493713377,2.1680720307801384,1.2,0.9057334371484103,0.0,0.0,-2.4355173426589312e-18,1.90132021414326e-36,-8.483724543191562e-19,2.3671051909662335,0.5774307476744774,2.10573343714841,0.06233859363172822
8.828,8.828,True,-0.4716663837432861,2.172731126185579,1.2,0.9040325332458934,0.0,0.0,-2.4301124946074978e-18,1.8967537856904276e-36,-8.400892956332041e-19,2.3649456009423497,0.5786569469528083,2.1040325332458933,0.06869859293968572
8.862,8.862,True,-0.47305870056152344,2.1630046506440554,1.2,0.9022543745240197,0.0,0.0,-2.435686939765395e-18,1.9014369062431842e-36,-8.290278561470995e-19,2.3626945909453405,0.5799100052951891,2.1022543745240196,0.06075027612003581
